company,createdAt,email,isUsefull,isValid,jabatan,name,need,prize,updatedAt,voucer_code
pt. duta sarana abadi jaya,2022-07-20T09:53:21.409Z,julio@dutasaja.local,true,false,engineer,julio antony,asdasda,Umbrella,2022-07-20T09:53:21.409Z,abc121
pt. sana sini,2022-07-20T10:58:19.835Z,ade@kuat.local,true,false,engineer,ade kuat,sate,Blender,2022-07-20T10:58:19.835Z,abc122
,,,,true,,,,,,abc123
,,,,true,,,,,,abc124
,,,,true,,,,,,abc125
,,,,true,,,,,,abc126
,,,,true,,,,,,abc127
,,,,true,,,,,,abc128
,,,,true,,,,,,abc129
,,,,true,,,,,,abc130
